"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\melody-trainer\cadences.js", "JavaScript", 109, 2, 34, 145
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\melody-trainer\components.js", "JavaScript", 226, 53, 84, 363
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\melody-trainer\global.js", "JavaScript", 19, 4, 10, 33
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\melody-trainer\modes.js", "JavaScript", 130, 8, 22, 160
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\melody-trainer\sources.js", "JavaScript", 156, 8, 10, 174
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\melody-trainer\webaudio.js", "JavaScript", 100, 18, 43, 161
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\tempo-trainer\sources.js", "JavaScript", 26, 3, 2, 31
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\tempo-trainer\tempo.js", "JavaScript", 34, 8, 13, 55
"c:\Users\rideo\Dropbox\Code\projects\personal\_dev\music-trainer\js\tempo-trainer\webaudio.js", "JavaScript", 93, 16, 43, 152
"Total", "-", 893, 120, 261, 1274
